"id","coordinates_wkt","name"
1025,"POINT (-123.071437 49.29777778)","Vancouver"
1026,"POINT (-64.70371025 44.04333333)","Liverpool"
1027,"POINT (-71.61914016 -33.03527778)","Valparaiso"
1028,"POINT (113.409364 23.09416667)","Guangzhou"
1029,"POINT (117.4565371 39.00944444)","Tianjin"
1030,"POINT (-4.021260306 5.283333333)","Abidjan"
1031,"POINT (8.553003534 53.56361111)","Bremerhaven"
1032,"POINT (12.11790342 54.1525)","Rostock"
1033,"POINT (12.58404005 55.72611111)","Tuborg"
1034,"POINT (-79.9024735 -2.284166667)","Guayaquil"
1035,"POINT (32.30600707 31.25333333)","Port Said"
1036,"POINT (2.168786808 41.35472222)","Barcelona"
1037,"POINT (-4.418256773 36.70944444)","Malaga"
1038,"POINT (2.62532391 39.55111111)","Palma de Mallorca"
1039,"POINT (0.173733804 49.46694444)","Le Havre"
1040,"POINT (5.341283863 43.32944444)","Marseille"
1041,"POINT (7.285630153 43.69388889)","Nice"
1042,"POINT (-0.067196702 51.50277778)","London"
1043,"POINT (22.56755006 36.76)","Gythion"
1044,"POINT (28.23351001 36.44361111)","Rhodes"
1045,"POINT (18.07638398 42.66)","Dubrovnik"
1046,"POINT (11.77567727 42.09888889)","Civitavecchia"
1047,"POINT (13.36984688 38.13083333)","Palermo"
1048,"POINT (8.489517079 44.31166667)","Savona"
1049,"POINT (12.24057715 45.45305556)","Marghera"
1050,"POINT (-77.93545347 18.4675)","Montego Bay"
1051,"POINT (135.4338634 34.63583333)","Osaka"
1052,"POINT (139.6673734 35.43638889)","Yokohama"
1053,"POINT (24.08810365 57.00777778)","Riga"
1054,"POINT (-109.9007067 22.88388889)","Cabo San Lucas"
1055,"POINT (14.54128386 35.82611111)","Marsaxlokk"
1056,"POINT (4.824087161 52.41305556)","Amsterdam"
1057,"POINT (10.73457008 59.89722222)","Oslo"
1058,"POINT (174.7694935 -36.83638889)","Auckland"
1059,"POINT (66.9737338 24.835)","Karachi"
1060,"POINT (-79.88510012 9.373333333)","Colon"
1061,"POINT (120.943404 14.52416667)","Manila"
1062,"POINT (-66.09128386 18.43611111)","San Juan"
1063,"POINT (28.993404 41.01277778)","Istanbul"
1064,"POINT (121.3746172 25.15194444)","Taipei"
1065,"POINT (39.293404 -6.834444444)","Dar es Salaam"
1066,"POINT (-88.03775029 30.71138889)","Mobile"
1067,"POINT (-118.2597173 33.73194444)","Los Angeles"
1068,"POINT (-117.1572438 32.68444444)","San Diego"
1069,"POINT (-122.4008834 37.78861111)","San Francisco"
1070,"POINT (-80.16702002 25.775)","Miami"
1071,"POINT (-82.43616019 27.93)","Tampa"
1072,"POINT (-157.8737338 21.30944444)","Honolulu"
1073,"POINT (-71.03545347 42.36361111)","Boston"
1074,"POINT (-76.55565371 39.2325)","Baltimore"
1075,"POINT (-74.02426384 40.68833333)","New York"
1076,"POINT (-94.81790342 29.30416667)","Galveston"
1077,"POINT (-76.29252061 36.90194444)","Norfolk"
1078,"POINT (-122.3597173 47.60222222)","Seattle"
1079,"POINT (18.4352768 -33.90916667)","Cape Town"
1080,"POINT (-79.38 43.61)","Toronto"
1081,"POINT (-87.6 41.88)","Chicago"
